OrgId,FileURL,Name,SupplierInvoiceNumber
ORG-1001,fileurl_value_1,Bergen Bygg AS,SUPPLI-001
ORG-1002,fileurl_value_2,Uppsala Livsmedel AB,SUPPLI-002
ORG-1003,fileurl_value_3,Aarhus Elektronik ApS,SUPPLI-003
ORG-1004,fileurl_value_4,Tampere Kone Oy,SUPPLI-004
ORG-1001,fileurl_value_5,Stavanger Marine AS,SUPPLI-005
ORG-1002,fileurl_value_6,Malmo Emballage AB,SUPPLI-006
ORG-1003,fileurl_value_7,Trondheim Verktoy AS,SUPPLI-007
ORG-1004,fileurl_value_8,Odense Papir ApS,SUPPLI-008
ORG-1001,fileurl_value_9,Astrid Lindqvist,SUPPLI-009
ORG-1002,fileurl_value_10,Henrik Dahl,SUPPLI-010
ORG-1003,fileurl_value_11,Mette Sorensen,SUPPLI-011
ORG-1004,fileurl_value_12,Jukka Virtanen,SUPPLI-012
