OrgId,AdministrationFee,ContributionPercent,ContributionValue,CopyRemarks,Currency,CurrencyRate,DeliveryDate,DocumentNumber,ExpireDate,Freight,Gross,HouseWork,InvoiceReference,Net,NotCompleted,OfferDate,OrderReference,RoundOff,Sent,TaxReduction,TotalToPay,TotalVAT,VATIncluded
ORG-1001,administrationfee_value_1,137.50,137.50,copyremarks_value_1,SEK,137.50,2026-01-05,DOCUME-001,2026-01-05,freight_value_1,gross_value_1,housework_value_1,invoicereference_value_1,net_value_1,notcompleted_value_1,2026-01-05,orderreference_value_1,roundoff_value_1,sent_value_1,taxreduction_value_1,137.50,137.50,vatincluded_value_1
ORG-1002,administrationfee_value_2,275.00,275.00,copyremarks_value_2,NOK,275.00,2026-01-12,DOCUME-002,2026-01-12,freight_value_2,gross_value_2,housework_value_2,invoicereference_value_2,net_value_2,notcompleted_value_2,2026-01-12,orderreference_value_2,roundoff_value_2,sent_value_2,taxreduction_value_2,275.00,275.00,vatincluded_value_2
ORG-1003,administrationfee_value_3,412.50,412.50,copyremarks_value_3,DKK,412.50,2026-01-19,DOCUME-003,2026-01-19,freight_value_3,gross_value_3,housework_value_3,invoicereference_value_3,net_value_3,notcompleted_value_3,2026-01-19,orderreference_value_3,roundoff_value_3,sent_value_3,taxreduction_value_3,412.50,412.50,vatincluded_value_3
ORG-1004,administrationfee_value_4,550.00,550.00,copyremarks_value_4,EUR,550.00,2026-01-26,DOCUME-004,2026-01-26,freight_value_4,gross_value_4,housework_value_4,invoicereference_value_4,net_value_4,notcompleted_value_4,2026-01-26,orderreference_value_4,roundoff_value_4,sent_value_4,taxreduction_value_4,550.00,550.00,vatincluded_value_4
ORG-1001,administrationfee_value_5,687.50,687.50,copyremarks_value_5,GBP,687.50,2026-02-02,DOCUME-005,2026-02-02,freight_value_5,gross_value_5,housework_value_5,invoicereference_value_5,net_value_5,notcompleted_value_5,2026-02-02,orderreference_value_5,roundoff_value_5,sent_value_5,taxreduction_value_5,687.50,687.50,vatincluded_value_5
ORG-1002,administrationfee_value_6,825.00,825.00,copyremarks_value_6,USD,825.00,2026-02-09,DOCUME-006,2026-02-09,freight_value_6,gross_value_6,housework_value_6,invoicereference_value_6,net_value_6,notcompleted_value_6,2026-02-09,orderreference_value_6,roundoff_value_6,sent_value_6,taxreduction_value_6,825.00,825.00,vatincluded_value_6
ORG-1003,administrationfee_value_7,962.50,962.50,copyremarks_value_7,SEK,962.50,2026-02-16,DOCUME-007,2026-02-16,freight_value_7,gross_value_7,housework_value_7,invoicereference_value_7,net_value_7,notcompleted_value_7,2026-02-16,orderreference_value_7,roundoff_value_7,sent_value_7,taxreduction_value_7,962.50,962.50,vatincluded_value_7
ORG-1004,administrationfee_value_8,1100.00,1100.00,copyremarks_value_8,NOK,1100.00,2026-02-23,DOCUME-008,2026-02-23,freight_value_8,gross_value_8,housework_value_8,invoicereference_value_8,net_value_8,notcompleted_value_8,2026-02-23,orderreference_value_8,roundoff_value_8,sent_value_8,taxreduction_value_8,1100.00,1100.00,vatincluded_value_8
ORG-1001,administrationfee_value_9,1237.50,1237.50,copyremarks_value_9,DKK,1237.50,2026-03-02,DOCUME-009,2026-03-02,freight_value_9,gross_value_9,housework_value_9,invoicereference_value_9,net_value_9,notcompleted_value_9,2026-03-02,orderreference_value_9,roundoff_value_9,sent_value_9,taxreduction_value_9,1237.50,1237.50,vatincluded_value_9
ORG-1002,administrationfee_value_10,1375.00,1375.00,copyremarks_value_10,EUR,1375.00,2026-03-09,DOCUME-010,2026-03-09,freight_value_10,gross_value_10,housework_value_10,invoicereference_value_10,net_value_10,notcompleted_value_10,2026-03-09,orderreference_value_10,roundoff_value_10,sent_value_10,taxreduction_value_10,1375.00,1375.00,vatincluded_value_10
ORG-1003,administrationfee_value_11,1512.50,1512.50,copyremarks_value_11,GBP,1512.50,2026-03-16,DOCUME-011,2026-03-16,freight_value_11,gross_value_11,housework_value_11,invoicereference_value_11,net_value_11,notcompleted_value_11,2026-03-16,orderreference_value_11,roundoff_value_11,sent_value_11,taxreduction_value_11,1512.50,1512.50,vatincluded_value_11
ORG-1004,administrationfee_value_12,1650.00,1650.00,copyremarks_value_12,USD,1650.00,2026-03-23,DOCUME-012,2026-03-23,freight_value_12,gross_value_12,housework_value_12,invoicereference_value_12,net_value_12,notcompleted_value_12,2026-03-23,orderreference_value_12,roundoff_value_12,sent_value_12,taxreduction_value_12,1650.00,1650.00,vatincluded_value_12
