OrgId,FiscalYearId,Name,Number
ORG-1001,FISCAL-001,Bergen Bygg AS,KEY-001
ORG-1002,FISCAL-002,Uppsala Livsmedel AB,KEY-002
ORG-1003,FISCAL-003,Aarhus Elektronik ApS,KEY-003
ORG-1004,FISCAL-004,Tampere Kone Oy,KEY-004
ORG-1001,FISCAL-005,Stavanger Marine AS,KEY-005
ORG-1002,FISCAL-006,Malmo Emballage AB,KEY-006
ORG-1003,FISCAL-007,Trondheim Verktoy AS,KEY-007
ORG-1004,FISCAL-008,Odense Papir ApS,KEY-008
ORG-1001,FISCAL-009,Astrid Lindqvist,KEY-009
ORG-1002,FISCAL-010,Henrik Dahl,KEY-010
ORG-1003,FISCAL-011,Mette Sorensen,KEY-011
ORG-1004,FISCAL-012,Jukka Virtanen,KEY-012
