OrgId,client,date,description,endDate,id,isAppointment,isExternalHost,location,notes,opportunity,outcome,private,project,projectPlan,regBy,regDate,weblinkUrl
ORG-1001,Bergen Bygg AS,2026-01-05,description_value_1,2026-01-05,KEY-001,false,false,location_value_1,notes_value_1,opportunity_value_1,outcome_value_1,private_value_1,project_value_1,projectplan_value_1,regby_value_1,2026-01-05,weblinkurl_value_1
ORG-1002,Uppsala Livsmedel AB,2026-01-12,description_value_2,2026-01-12,KEY-002,true,true,location_value_2,notes_value_2,opportunity_value_2,outcome_value_2,private_value_2,project_value_2,projectplan_value_2,regby_value_2,2026-01-12,weblinkurl_value_2
ORG-1003,Aarhus Elektronik ApS,2026-01-19,description_value_3,2026-01-19,KEY-003,true,true,location_value_3,notes_value_3,opportunity_value_3,outcome_value_3,private_value_3,project_value_3,projectplan_value_3,regby_value_3,2026-01-19,weblinkurl_value_3
ORG-1004,Tampere Kone Oy,2026-01-26,description_value_4,2026-01-26,KEY-004,false,false,location_value_4,notes_value_4,opportunity_value_4,outcome_value_4,private_value_4,project_value_4,projectplan_value_4,regby_value_4,2026-01-26,weblinkurl_value_4
ORG-1001,Stavanger Marine AS,2026-02-02,description_value_5,2026-02-02,KEY-005,true,true,location_value_5,notes_value_5,opportunity_value_5,outcome_value_5,private_value_5,project_value_5,projectplan_value_5,regby_value_5,2026-02-02,weblinkurl_value_5
ORG-1002,Malmo Emballage AB,2026-02-09,description_value_6,2026-02-09,KEY-006,true,true,location_value_6,notes_value_6,opportunity_value_6,outcome_value_6,private_value_6,project_value_6,projectplan_value_6,regby_value_6,2026-02-09,weblinkurl_value_6
ORG-1003,Trondheim Verktoy AS,2026-02-16,description_value_7,2026-02-16,KEY-007,false,false,location_value_7,notes_value_7,opportunity_value_7,outcome_value_7,private_value_7,project_value_7,projectplan_value_7,regby_value_7,2026-02-16,weblinkurl_value_7
ORG-1004,Odense Papir ApS,2026-02-23,description_value_8,2026-02-23,KEY-008,true,true,location_value_8,notes_value_8,opportunity_value_8,outcome_value_8,private_value_8,project_value_8,projectplan_value_8,regby_value_8,2026-02-23,weblinkurl_value_8
ORG-1001,Astrid Lindqvist,2026-03-02,description_value_9,2026-03-02,KEY-009,true,true,location_value_9,notes_value_9,opportunity_value_9,outcome_value_9,private_value_9,project_value_9,projectplan_value_9,regby_value_9,2026-03-02,weblinkurl_value_9
ORG-1002,Henrik Dahl,2026-03-09,description_value_10,2026-03-09,KEY-010,false,false,location_value_10,notes_value_10,opportunity_value_10,outcome_value_10,private_value_10,project_value_10,projectplan_value_10,regby_value_10,2026-03-09,weblinkurl_value_10
ORG-1003,Mette Sorensen,2026-03-16,description_value_11,2026-03-16,KEY-011,true,true,location_value_11,notes_value_11,opportunity_value_11,outcome_value_11,private_value_11,project_value_11,projectplan_value_11,regby_value_11,2026-03-16,weblinkurl_value_11
ORG-1004,Jukka Virtanen,2026-03-23,description_value_12,2026-03-23,KEY-012,true,true,location_value_12,notes_value_12,opportunity_value_12,outcome_value_12,private_value_12,project_value_12,projectplan_value_12,regby_value_12,2026-03-23,weblinkurl_value_12
