OrgId,Amount,AmountCurrency,Booked,Currency,CurrencyRate,InvoiceCustomerNumber,InvoiceNumber,InvoiceOCR,ModeOfPayment,ModeOfPaymentAccount,Number,PaymentDate,Source,VoucherNumber,VoucherSeries,VoucherYear
ORG-1001,137.50,137.50,booked_value_1,SEK,137.50,INVOIC-001,INVOIC-001,invoiceocr_value_1,modeofpayment_value_1,modeofpaymentaccount_value_1,KEY-001,2026-01-05,source_value_1,VOUCHE-001,voucherseries_value_1,voucheryear_value_1
ORG-1002,275.00,275.00,booked_value_2,NOK,275.00,INVOIC-002,INVOIC-002,invoiceocr_value_2,modeofpayment_value_2,modeofpaymentaccount_value_2,KEY-002,2026-01-12,source_value_2,VOUCHE-002,voucherseries_value_2,voucheryear_value_2
ORG-1003,412.50,412.50,booked_value_3,DKK,412.50,INVOIC-003,INVOIC-003,invoiceocr_value_3,modeofpayment_value_3,modeofpaymentaccount_value_3,KEY-003,2026-01-19,source_value_3,VOUCHE-003,voucherseries_value_3,voucheryear_value_3
ORG-1004,550.00,550.00,booked_value_4,EUR,550.00,INVOIC-004,INVOIC-004,invoiceocr_value_4,modeofpayment_value_4,modeofpaymentaccount_value_4,KEY-004,2026-01-26,source_value_4,VOUCHE-004,voucherseries_value_4,voucheryear_value_4
ORG-1001,687.50,687.50,booked_value_5,GBP,687.50,INVOIC-005,INVOIC-005,invoiceocr_value_5,modeofpayment_value_5,modeofpaymentaccount_value_5,KEY-005,2026-02-02,source_value_5,VOUCHE-005,voucherseries_value_5,voucheryear_value_5
ORG-1002,825.00,825.00,booked_value_6,USD,825.00,INVOIC-006,INVOIC-006,invoiceocr_value_6,modeofpayment_value_6,modeofpaymentaccount_value_6,KEY-006,2026-02-09,source_value_6,VOUCHE-006,voucherseries_value_6,voucheryear_value_6
ORG-1003,962.50,962.50,booked_value_7,SEK,962.50,INVOIC-007,INVOIC-007,invoiceocr_value_7,modeofpayment_value_7,modeofpaymentaccount_value_7,KEY-007,2026-02-16,source_value_7,VOUCHE-007,voucherseries_value_7,voucheryear_value_7
ORG-1004,1100.00,1100.00,booked_value_8,NOK,1100.00,INVOIC-008,INVOIC-008,invoiceocr_value_8,modeofpayment_value_8,modeofpaymentaccount_value_8,KEY-008,2026-02-23,source_value_8,VOUCHE-008,voucherseries_value_8,voucheryear_value_8
ORG-1001,1237.50,1237.50,booked_value_9,DKK,1237.50,INVOIC-009,INVOIC-009,invoiceocr_value_9,modeofpayment_value_9,modeofpaymentaccount_value_9,KEY-009,2026-03-02,source_value_9,VOUCHE-009,voucherseries_value_9,voucheryear_value_9
ORG-1002,1375.00,1375.00,booked_value_10,EUR,1375.00,INVOIC-010,INVOIC-010,invoiceocr_value_10,modeofpayment_value_10,modeofpaymentaccount_value_10,KEY-010,2026-03-09,source_value_10,VOUCHE-010,voucherseries_value_10,voucheryear_value_10
ORG-1003,1512.50,1512.50,booked_value_11,GBP,1512.50,INVOIC-011,INVOIC-011,invoiceocr_value_11,modeofpayment_value_11,modeofpaymentaccount_value_11,KEY-011,2026-03-16,source_value_11,VOUCHE-011,voucherseries_value_11,voucheryear_value_11
ORG-1004,1650.00,1650.00,booked_value_12,USD,1650.00,INVOIC-012,INVOIC-012,invoiceocr_value_12,modeofpayment_value_12,modeofpaymentaccount_value_12,KEY-012,2026-03-23,source_value_12,VOUCHE-012,voucherseries_value_12,voucheryear_value_12
