OrgId,CurrencyCode,CurrencyRate,CustomerId,DueDate,ElectronicReference,FactoringInvoiceStatus,Id,InvoiceDate,InvoiceNumber,IsNotDelivered,Notes,OurReference,PaymentDate,PaymentReminderIssued,PaymentStatus,RemainingAmount,Rows,TotalAmount,TotalRoundings,TotalVatAmount,WorkHouseOtherCosts,YourReference
ORG-1001,SEK,137.50,CUSTOM-001,2026-01-05,electronicreference_value_1,factoringinvoicestatus_value_1,KEY-001,2026-01-05,INVOIC-001,false,notes_value_1,ourreference_value_1,2026-01-05,paymentreminderissued_value_1,paymentstatus_value_1,137.50,rows_value_1,137.50,137.50,137.50,137.50,yourreference_value_1
ORG-1002,NOK,275.00,CUSTOM-002,2026-01-12,electronicreference_value_2,factoringinvoicestatus_value_2,KEY-002,2026-01-12,INVOIC-002,true,notes_value_2,ourreference_value_2,2026-01-12,paymentreminderissued_value_2,paymentstatus_value_2,275.00,rows_value_2,275.00,275.00,275.00,275.00,yourreference_value_2
ORG-1003,DKK,412.50,CUSTOM-003,2026-01-19,electronicreference_value_3,factoringinvoicestatus_value_3,KEY-003,2026-01-19,INVOIC-003,true,notes_value_3,ourreference_value_3,2026-01-19,paymentreminderissued_value_3,paymentstatus_value_3,412.50,rows_value_3,412.50,412.50,412.50,412.50,yourreference_value_3
ORG-1004,EUR,550.00,CUSTOM-004,2026-01-26,electronicreference_value_4,factoringinvoicestatus_value_4,KEY-004,2026-01-26,INVOIC-004,false,notes_value_4,ourreference_value_4,2026-01-26,paymentreminderissued_value_4,paymentstatus_value_4,550.00,rows_value_4,550.00,550.00,550.00,550.00,yourreference_value_4
ORG-1001,GBP,687.50,CUSTOM-005,2026-02-02,electronicreference_value_5,factoringinvoicestatus_value_5,KEY-005,2026-02-02,INVOIC-005,true,notes_value_5,ourreference_value_5,2026-02-02,paymentreminderissued_value_5,paymentstatus_value_5,687.50,rows_value_5,687.50,687.50,687.50,687.50,yourreference_value_5
ORG-1002,USD,825.00,CUSTOM-006,2026-02-09,electronicreference_value_6,factoringinvoicestatus_value_6,KEY-006,2026-02-09,INVOIC-006,true,notes_value_6,ourreference_value_6,2026-02-09,paymentreminderissued_value_6,paymentstatus_value_6,825.00,rows_value_6,825.00,825.00,825.00,825.00,yourreference_value_6
ORG-1003,SEK,962.50,CUSTOM-007,2026-02-16,electronicreference_value_7,factoringinvoicestatus_value_7,KEY-007,2026-02-16,INVOIC-007,false,notes_value_7,ourreference_value_7,2026-02-16,paymentreminderissued_value_7,paymentstatus_value_7,962.50,rows_value_7,962.50,962.50,962.50,962.50,yourreference_value_7
ORG-1004,NOK,1100.00,CUSTOM-008,2026-02-23,electronicreference_value_8,factoringinvoicestatus_value_8,KEY-008,2026-02-23,INVOIC-008,true,notes_value_8,ourreference_value_8,2026-02-23,paymentreminderissued_value_8,paymentstatus_value_8,1100.00,rows_value_8,1100.00,1100.00,1100.00,1100.00,yourreference_value_8
ORG-1001,DKK,1237.50,CUSTOM-009,2026-03-02,electronicreference_value_9,factoringinvoicestatus_value_9,KEY-009,2026-03-02,INVOIC-009,true,notes_value_9,ourreference_value_9,2026-03-02,paymentreminderissued_value_9,paymentstatus_value_9,1237.50,rows_value_9,1237.50,1237.50,1237.50,1237.50,yourreference_value_9
ORG-1002,EUR,1375.00,CUSTOM-010,2026-03-09,electronicreference_value_10,factoringinvoicestatus_value_10,KEY-010,2026-03-09,INVOIC-010,false,notes_value_10,ourreference_value_10,2026-03-09,paymentreminderissued_value_10,paymentstatus_value_10,1375.00,rows_value_10,1375.00,1375.00,1375.00,1375.00,yourreference_value_10
ORG-1003,GBP,1512.50,CUSTOM-011,2026-03-16,electronicreference_value_11,factoringinvoicestatus_value_11,KEY-011,2026-03-16,INVOIC-011,true,notes_value_11,ourreference_value_11,2026-03-16,paymentreminderissued_value_11,paymentstatus_value_11,1512.50,rows_value_11,1512.50,1512.50,1512.50,1512.50,yourreference_value_11
ORG-1004,USD,1650.00,CUSTOM-012,2026-03-23,electronicreference_value_12,factoringinvoicestatus_value_12,KEY-012,2026-03-23,INVOIC-012,true,notes_value_12,ourreference_value_12,2026-03-23,paymentreminderissued_value_12,paymentstatus_value_12,1650.00,rows_value_12,1650.00,1650.00,1650.00,1650.00,yourreference_value_12
