OrgId,AcquisitionDate,AcquisitionStart,AcquisitionValue,Brand,CostCenter,Department,DepreciatedTo,DepreciateToResidualValue,DepreciationFinal,Description,History,Id,InsuredNumber,InsuredWith,ManualOb,Notes,Placement,Project,Reference,Room,Status,Type,TypeId,Url
ORG-1001,2026-01-05,acquisitionstart_value_1,137.50,brand_value_1,137.50,department_value_1,2026-01-05,137.50,depreciationfinal_value_1,description_value_1,history_value_1,KEY-001,INSURE-001,insuredwith_value_1,manualob_value_1,notes_value_1,placement_value_1,project_value_1,reference_value_1,room_value_1,status_value_1,type_value_1,TYPE-001,url_value_1
ORG-1002,2026-01-12,acquisitionstart_value_2,275.00,brand_value_2,275.00,department_value_2,2026-01-12,275.00,depreciationfinal_value_2,description_value_2,history_value_2,KEY-002,INSURE-002,insuredwith_value_2,manualob_value_2,notes_value_2,placement_value_2,project_value_2,reference_value_2,room_value_2,status_value_2,type_value_2,TYPE-002,url_value_2
ORG-1003,2026-01-19,acquisitionstart_value_3,412.50,brand_value_3,412.50,department_value_3,2026-01-19,412.50,depreciationfinal_value_3,description_value_3,history_value_3,KEY-003,INSURE-003,insuredwith_value_3,manualob_value_3,notes_value_3,placement_value_3,project_value_3,reference_value_3,room_value_3,status_value_3,type_value_3,TYPE-003,url_value_3
ORG-1004,2026-01-26,acquisitionstart_value_4,550.00,brand_value_4,550.00,department_value_4,2026-01-26,550.00,depreciationfinal_value_4,description_value_4,history_value_4,KEY-004,INSURE-004,insuredwith_value_4,manualob_value_4,notes_value_4,placement_value_4,project_value_4,reference_value_4,room_value_4,status_value_4,type_value_4,TYPE-004,url_value_4
ORG-1001,2026-02-02,acquisitionstart_value_5,687.50,brand_value_5,687.50,department_value_5,2026-02-02,687.50,depreciationfinal_value_5,description_value_5,history_value_5,KEY-005,INSURE-005,insuredwith_value_5,manualob_value_5,notes_value_5,placement_value_5,project_value_5,reference_value_5,room_value_5,status_value_5,type_value_5,TYPE-005,url_value_5
ORG-1002,2026-02-09,acquisitionstart_value_6,825.00,brand_value_6,825.00,department_value_6,2026-02-09,825.00,depreciationfinal_value_6,description_value_6,history_value_6,KEY-006,INSURE-006,insuredwith_value_6,manualob_value_6,notes_value_6,placement_value_6,project_value_6,reference_value_6,room_value_6,status_value_6,type_value_6,TYPE-006,url_value_6
ORG-1003,2026-02-16,acquisitionstart_value_7,962.50,brand_value_7,962.50,department_value_7,2026-02-16,962.50,depreciationfinal_value_7,description_value_7,history_value_7,KEY-007,INSURE-007,insuredwith_value_7,manualob_value_7,notes_value_7,placement_value_7,project_value_7,reference_value_7,room_value_7,status_value_7,type_value_7,TYPE-007,url_value_7
ORG-1004,2026-02-23,acquisitionstart_value_8,1100.00,brand_value_8,1100.00,department_value_8,2026-02-23,1100.00,depreciationfinal_value_8,description_value_8,history_value_8,KEY-008,INSURE-008,insuredwith_value_8,manualob_value_8,notes_value_8,placement_value_8,project_value_8,reference_value_8,room_value_8,status_value_8,type_value_8,TYPE-008,url_value_8
ORG-1001,2026-03-02,acquisitionstart_value_9,1237.50,brand_value_9,1237.50,department_value_9,2026-03-02,1237.50,depreciationfinal_value_9,description_value_9,history_value_9,KEY-009,INSURE-009,insuredwith_value_9,manualob_value_9,notes_value_9,placement_value_9,project_value_9,reference_value_9,room_value_9,status_value_9,type_value_9,TYPE-009,url_value_9
ORG-1002,2026-03-09,acquisitionstart_value_10,1375.00,brand_value_10,1375.00,department_value_10,2026-03-09,1375.00,depreciationfinal_value_10,description_value_10,history_value_10,KEY-010,INSURE-010,insuredwith_value_10,manualob_value_10,notes_value_10,placement_value_10,project_value_10,reference_value_10,room_value_10,status_value_10,type_value_10,TYPE-010,url_value_10
ORG-1003,2026-03-16,acquisitionstart_value_11,1512.50,brand_value_11,1512.50,department_value_11,2026-03-16,1512.50,depreciationfinal_value_11,description_value_11,history_value_11,KEY-011,INSURE-011,insuredwith_value_11,manualob_value_11,notes_value_11,placement_value_11,project_value_11,reference_value_11,room_value_11,status_value_11,type_value_11,TYPE-011,url_value_11
ORG-1004,2026-03-23,acquisitionstart_value_12,1650.00,brand_value_12,1650.00,department_value_12,2026-03-23,1650.00,depreciationfinal_value_12,description_value_12,history_value_12,KEY-012,INSURE-012,insuredwith_value_12,manualob_value_12,notes_value_12,placement_value_12,project_value_12,reference_value_12,room_value_12,status_value_12,type_value_12,TYPE-012,url_value_12
