OrgId,AdministrationFee,Balance,Booked,Cancelled,CostCenter,Credit,Currency,CurrencyRate,DisablePaymentFile,DueDate,FinalPayDate,Freight,GivenNumber,InvoiceDate,InvoiceNumber,OurReference,Project,SupplierNumber,Total,Vat,YourReference
ORG-1001,administrationfee_value_1,137.50,booked_value_1,cancelled_value_1,137.50,credit_value_1,SEK,137.50,disablepaymentfile_value_1,2026-01-05,2026-01-05,freight_value_1,GIVEN-001,2026-01-05,INVOIC-001,ourreference_value_1,project_value_1,S-2001,137.50,vat_value_1,yourreference_value_1
ORG-1002,administrationfee_value_2,275.00,booked_value_2,cancelled_value_2,275.00,credit_value_2,NOK,275.00,disablepaymentfile_value_2,2026-01-12,2026-01-12,freight_value_2,GIVEN-002,2026-01-12,INVOIC-002,ourreference_value_2,project_value_2,S-2002,275.00,vat_value_2,yourreference_value_2
ORG-1003,administrationfee_value_3,412.50,booked_value_3,cancelled_value_3,412.50,credit_value_3,DKK,412.50,disablepaymentfile_value_3,2026-01-19,2026-01-19,freight_value_3,GIVEN-003,2026-01-19,INVOIC-003,ourreference_value_3,project_value_3,S-2003,412.50,vat_value_3,yourreference_value_3
ORG-1004,administrationfee_value_4,550.00,booked_value_4,cancelled_value_4,550.00,credit_value_4,EUR,550.00,disablepaymentfile_value_4,2026-01-26,2026-01-26,freight_value_4,GIVEN-004,2026-01-26,INVOIC-004,ourreference_value_4,project_value_4,S-2001,550.00,vat_value_4,yourreference_value_4
ORG-1001,administrationfee_value_5,687.50,booked_value_5,cancelled_value_5,687.50,credit_value_5,GBP,687.50,disablepaymentfile_value_5,2026-02-02,2026-02-02,freight_value_5,GIVEN-005,2026-02-02,INVOIC-005,ourreference_value_5,project_value_5,S-2002,687.50,vat_value_5,yourreference_value_5
ORG-1002,administrationfee_value_6,825.00,booked_value_6,cancelled_value_6,825.00,credit_value_6,USD,825.00,disablepaymentfile_value_6,2026-02-09,2026-02-09,freight_value_6,GIVEN-006,2026-02-09,INVOIC-006,ourreference_value_6,project_value_6,S-2003,825.00,vat_value_6,yourreference_value_6
ORG-1003,administrationfee_value_7,962.50,booked_value_7,cancelled_value_7,962.50,credit_value_7,SEK,962.50,disablepaymentfile_value_7,2026-02-16,2026-02-16,freight_value_7,GIVEN-007,2026-02-16,INVOIC-007,ourreference_value_7,project_value_7,S-2001,962.50,vat_value_7,yourreference_value_7
ORG-1004,administrationfee_value_8,1100.00,booked_value_8,cancelled_value_8,1100.00,credit_value_8,NOK,1100.00,disablepaymentfile_value_8,2026-02-23,2026-02-23,freight_value_8,GIVEN-008,2026-02-23,INVOIC-008,ourreference_value_8,project_value_8,S-2002,1100.00,vat_value_8,yourreference_value_8
ORG-1001,administrationfee_value_9,1237.50,booked_value_9,cancelled_value_9,1237.50,credit_value_9,DKK,1237.50,disablepaymentfile_value_9,2026-03-02,2026-03-02,freight_value_9,GIVEN-009,2026-03-02,INVOIC-009,ourreference_value_9,project_value_9,S-2003,1237.50,vat_value_9,yourreference_value_9
ORG-1002,administrationfee_value_10,1375.00,booked_value_10,cancelled_value_10,1375.00,credit_value_10,EUR,1375.00,disablepaymentfile_value_10,2026-03-09,2026-03-09,freight_value_10,GIVEN-010,2026-03-09,INVOIC-010,ourreference_value_10,project_value_10,S-2001,1375.00,vat_value_10,yourreference_value_10
ORG-1003,administrationfee_value_11,1512.50,booked_value_11,cancelled_value_11,1512.50,credit_value_11,GBP,1512.50,disablepaymentfile_value_11,2026-03-16,2026-03-16,freight_value_11,GIVEN-011,2026-03-16,INVOIC-011,ourreference_value_11,project_value_11,S-2002,1512.50,vat_value_11,yourreference_value_11
ORG-1004,administrationfee_value_12,1650.00,booked_value_12,cancelled_value_12,1650.00,credit_value_12,USD,1650.00,disablepaymentfile_value_12,2026-03-23,2026-03-23,freight_value_12,GIVEN-012,2026-03-23,INVOIC-012,ourreference_value_12,project_value_12,S-2003,1650.00,vat_value_12,yourreference_value_12
