address1,address2,cancelled_at,city,closed_at,country,created_at,currency,customer_id,email,financial_status,fulfillment_status,id,name,note,order_number,phone,processed_at,source_name,subtotal_price,tags,taxes_included,total_discounts,total_line_items_price,total_price,total_tax,updated_at,zip
address1_value_1,address2_value_1,2026-01-05,Bergen,2026-01-05,NO,2026-01-05,SEK,CUSTOM-001,email_value_1,financial_status_value_1,fulfillment_status_value_1,KEY-001,Bergen Bygg AS,note_value_1,ORDER_-001,phone_value_1,2026-01-05,source_name_value_1,137.50,tags_value_1,taxes_included_value_1,137.50,137.50,137.50,137.50,2026-01-05,zip_value_1
address1_value_2,address2_value_2,2026-01-12,Uppsala,2026-01-12,SE,2026-01-12,NOK,CUSTOM-002,email_value_2,financial_status_value_2,fulfillment_status_value_2,KEY-002,Uppsala Livsmedel AB,note_value_2,ORDER_-002,phone_value_2,2026-01-12,source_name_value_2,275.00,tags_value_2,taxes_included_value_2,275.00,275.00,275.00,275.00,2026-01-12,zip_value_2
address1_value_3,address2_value_3,2026-01-19,Aarhus,2026-01-19,DK,2026-01-19,DKK,CUSTOM-003,email_value_3,financial_status_value_3,fulfillment_status_value_3,KEY-003,Aarhus Elektronik ApS,note_value_3,ORDER_-003,phone_value_3,2026-01-19,source_name_value_3,412.50,tags_value_3,taxes_included_value_3,412.50,412.50,412.50,412.50,2026-01-19,zip_value_3
address1_value_4,address2_value_4,2026-01-26,Tampere,2026-01-26,FI,2026-01-26,EUR,CUSTOM-004,email_value_4,financial_status_value_4,fulfillment_status_value_4,KEY-004,Tampere Kone Oy,note_value_4,ORDER_-004,phone_value_4,2026-01-26,source_name_value_4,550.00,tags_value_4,taxes_included_value_4,550.00,550.00,550.00,550.00,2026-01-26,zip_value_4
address1_value_5,address2_value_5,2026-02-02,Stavanger,2026-02-02,NO,2026-02-02,GBP,CUSTOM-005,email_value_5,financial_status_value_5,fulfillment_status_value_5,KEY-005,Stavanger Marine AS,note_value_5,ORDER_-005,phone_value_5,2026-02-02,source_name_value_5,687.50,tags_value_5,taxes_included_value_5,687.50,687.50,687.50,687.50,2026-02-02,zip_value_5
address1_value_6,address2_value_6,2026-02-09,Malmo,2026-02-09,SE,2026-02-09,USD,CUSTOM-006,email_value_6,financial_status_value_6,fulfillment_status_value_6,KEY-006,Malmo Emballage AB,note_value_6,ORDER_-006,phone_value_6,2026-02-09,source_name_value_6,825.00,tags_value_6,taxes_included_value_6,825.00,825.00,825.00,825.00,2026-02-09,zip_value_6
address1_value_7,address2_value_7,2026-02-16,Trondheim,2026-02-16,NO,2026-02-16,SEK,CUSTOM-007,email_value_7,financial_status_value_7,fulfillment_status_value_7,KEY-007,Trondheim Verktoy AS,note_value_7,ORDER_-007,phone_value_7,2026-02-16,source_name_value_7,962.50,tags_value_7,taxes_included_value_7,962.50,962.50,962.50,962.50,2026-02-16,zip_value_7
address1_value_8,address2_value_8,2026-02-23,Odense,2026-02-23,DK,2026-02-23,NOK,CUSTOM-008,email_value_8,financial_status_value_8,fulfillment_status_value_8,KEY-008,Odense Papir ApS,note_value_8,ORDER_-008,phone_value_8,2026-02-23,source_name_value_8,1100.00,tags_value_8,taxes_included_value_8,1100.00,1100.00,1100.00,1100.00,2026-02-23,zip_value_8
address1_value_9,address2_value_9,2026-03-02,Stockholm,2026-03-02,SE,2026-03-02,DKK,CUSTOM-009,email_value_9,financial_status_value_9,fulfillment_status_value_9,KEY-009,Astrid Lindqvist,note_value_9,ORDER_-009,phone_value_9,2026-03-02,source_name_value_9,1237.50,tags_value_9,taxes_included_value_9,1237.50,1237.50,1237.50,1237.50,2026-03-02,zip_value_9
address1_value_10,address2_value_10,2026-03-09,Oslo,2026-03-09,NO,2026-03-09,EUR,CUSTOM-010,email_value_10,financial_status_value_10,fulfillment_status_value_10,KEY-010,Henrik Dahl,note_value_10,ORDER_-010,phone_value_10,2026-03-09,source_name_value_10,1375.00,tags_value_10,taxes_included_value_10,1375.00,1375.00,1375.00,1375.00,2026-03-09,zip_value_10
address1_value_11,address2_value_11,2026-03-16,Copenhagen,2026-03-16,DK,2026-03-16,GBP,CUSTOM-011,email_value_11,financial_status_value_11,fulfillment_status_value_11,KEY-011,Mette Sorensen,note_value_11,ORDER_-011,phone_value_11,2026-03-16,source_name_value_11,1512.50,tags_value_11,taxes_included_value_11,1512.50,1512.50,1512.50,1512.50,2026-03-16,zip_value_11
address1_value_12,address2_value_12,2026-03-23,Helsinki,2026-03-23,FI,2026-03-23,USD,CUSTOM-012,email_value_12,financial_status_value_12,fulfillment_status_value_12,KEY-012,Jukka Virtanen,note_value_12,ORDER_-012,phone_value_12,2026-03-23,source_name_value_12,1650.00,tags_value_12,taxes_included_value_12,1650.00,1650.00,1650.00,1650.00,2026-03-23,zip_value_12
