OrgId,AdministrationFee,AdministrationFeeVAT,BasisTaxReduction,Cancelled,ContributionPercent,ContributionValue,CostCenter,Currency,CurrencyRate,CurrencyUnit,CustomerNumber,DocumentNumber,Freight,FreightVAT,Gross,HouseWork,InvoiceReference,Net,NotCompleted,OfferDate,OfferRows,OrderReference,Project,RoundOff,Sent,TaxReduction,TaxReductionType,Total,TotalToPay,TotalVAT,VATIncluded
ORG-1001,administrationfee_value_1,administrationfeevat_value_1,basistaxreduction_value_1,cancelled_value_1,137.50,137.50,137.50,SEK,137.50,currencyunit_value_1,C-1001,DOCUME-001,freight_value_1,freightvat_value_1,gross_value_1,housework_value_1,invoicereference_value_1,net_value_1,notcompleted_value_1,2026-01-05,offerrows_value_1,orderreference_value_1,project_value_1,roundoff_value_1,sent_value_1,taxreduction_value_1,taxreductiontype_value_1,137.50,137.50,137.50,vatincluded_value_1
ORG-1002,administrationfee_value_2,administrationfeevat_value_2,basistaxreduction_value_2,cancelled_value_2,275.00,275.00,275.00,NOK,275.00,currencyunit_value_2,C-1002,DOCUME-002,freight_value_2,freightvat_value_2,gross_value_2,housework_value_2,invoicereference_value_2,net_value_2,notcompleted_value_2,2026-01-12,offerrows_value_2,orderreference_value_2,project_value_2,roundoff_value_2,sent_value_2,taxreduction_value_2,taxreductiontype_value_2,275.00,275.00,275.00,vatincluded_value_2
ORG-1003,administrationfee_value_3,administrationfeevat_value_3,basistaxreduction_value_3,cancelled_value_3,412.50,412.50,412.50,DKK,412.50,currencyunit_value_3,C-1003,DOCUME-003,freight_value_3,freightvat_value_3,gross_value_3,housework_value_3,invoicereference_value_3,net_value_3,notcompleted_value_3,2026-01-19,offerrows_value_3,orderreference_value_3,project_value_3,roundoff_value_3,sent_value_3,taxreduction_value_3,taxreductiontype_value_3,412.50,412.50,412.50,vatincluded_value_3
ORG-1004,administrationfee_value_4,administrationfeevat_value_4,basistaxreduction_value_4,cancelled_value_4,550.00,550.00,550.00,EUR,550.00,currencyunit_value_4,C-1004,DOCUME-004,freight_value_4,freightvat_value_4,gross_value_4,housework_value_4,invoicereference_value_4,net_value_4,notcompleted_value_4,2026-01-26,offerrows_value_4,orderreference_value_4,project_value_4,roundoff_value_4,sent_value_4,taxreduction_value_4,taxreductiontype_value_4,550.00,550.00,550.00,vatincluded_value_4
ORG-1001,administrationfee_value_5,administrationfeevat_value_5,basistaxreduction_value_5,cancelled_value_5,687.50,687.50,687.50,GBP,687.50,currencyunit_value_5,C-1005,DOCUME-005,freight_value_5,freightvat_value_5,gross_value_5,housework_value_5,invoicereference_value_5,net_value_5,notcompleted_value_5,2026-02-02,offerrows_value_5,orderreference_value_5,project_value_5,roundoff_value_5,sent_value_5,taxreduction_value_5,taxreductiontype_value_5,687.50,687.50,687.50,vatincluded_value_5
ORG-1002,administrationfee_value_6,administrationfeevat_value_6,basistaxreduction_value_6,cancelled_value_6,825.00,825.00,825.00,USD,825.00,currencyunit_value_6,C-1001,DOCUME-006,freight_value_6,freightvat_value_6,gross_value_6,housework_value_6,invoicereference_value_6,net_value_6,notcompleted_value_6,2026-02-09,offerrows_value_6,orderreference_value_6,project_value_6,roundoff_value_6,sent_value_6,taxreduction_value_6,taxreductiontype_value_6,825.00,825.00,825.00,vatincluded_value_6
ORG-1003,administrationfee_value_7,administrationfeevat_value_7,basistaxreduction_value_7,cancelled_value_7,962.50,962.50,962.50,SEK,962.50,currencyunit_value_7,C-1002,DOCUME-007,freight_value_7,freightvat_value_7,gross_value_7,housework_value_7,invoicereference_value_7,net_value_7,notcompleted_value_7,2026-02-16,offerrows_value_7,orderreference_value_7,project_value_7,roundoff_value_7,sent_value_7,taxreduction_value_7,taxreductiontype_value_7,962.50,962.50,962.50,vatincluded_value_7
ORG-1004,administrationfee_value_8,administrationfeevat_value_8,basistaxreduction_value_8,cancelled_value_8,1100.00,1100.00,1100.00,NOK,1100.00,currencyunit_value_8,C-1003,DOCUME-008,freight_value_8,freightvat_value_8,gross_value_8,housework_value_8,invoicereference_value_8,net_value_8,notcompleted_value_8,2026-02-23,offerrows_value_8,orderreference_value_8,project_value_8,roundoff_value_8,sent_value_8,taxreduction_value_8,taxreductiontype_value_8,1100.00,1100.00,1100.00,vatincluded_value_8
ORG-1001,administrationfee_value_9,administrationfeevat_value_9,basistaxreduction_value_9,cancelled_value_9,1237.50,1237.50,1237.50,DKK,1237.50,currencyunit_value_9,C-1004,DOCUME-009,freight_value_9,freightvat_value_9,gross_value_9,housework_value_9,invoicereference_value_9,net_value_9,notcompleted_value_9,2026-03-02,offerrows_value_9,orderreference_value_9,project_value_9,roundoff_value_9,sent_value_9,taxreduction_value_9,taxreductiontype_value_9,1237.50,1237.50,1237.50,vatincluded_value_9
ORG-1002,administrationfee_value_10,administrationfeevat_value_10,basistaxreduction_value_10,cancelled_value_10,1375.00,1375.00,1375.00,EUR,1375.00,currencyunit_value_10,C-1005,DOCUME-010,freight_value_10,freightvat_value_10,gross_value_10,housework_value_10,invoicereference_value_10,net_value_10,notcompleted_value_10,2026-03-09,offerrows_value_10,orderreference_value_10,project_value_10,roundoff_value_10,sent_value_10,taxreduction_value_10,taxreductiontype_value_10,1375.00,1375.00,1375.00,vatincluded_value_10
