OrgId,AdministrationFee,cancelled,ContributionPercent,ContributionValue,CopyRemarks,Currency,CurrencyRate,DeliveryDate,DeliveryState,DocumentNumber,ExternalInvoiceReference1,ExternalInvoiceReference2,Freight,Gross,HouseWork,InvoiceReference,Net,NotCompleted,OfferReference,OrderDate,OrderType,OutboundDate,RoundOff,Sent,TaxReduction,TotalToPay,TotalVAT,VATIncluded,WarehouseReady
ORG-1001,administrationfee_value_1,cancelled_value_1,137.50,137.50,copyremarks_value_1,SEK,137.50,2026-01-05,deliverystate_value_1,DOCUME-001,externalinvoicereference1_value_1,externalinvoicereference2_value_1,freight_value_1,gross_value_1,housework_value_1,invoicereference_value_1,net_value_1,notcompleted_value_1,offerreference_value_1,2026-01-05,ordertype_value_1,2026-01-05,roundoff_value_1,sent_value_1,taxreduction_value_1,137.50,137.50,vatincluded_value_1,warehouseready_value_1
ORG-1002,administrationfee_value_2,cancelled_value_2,275.00,275.00,copyremarks_value_2,NOK,275.00,2026-01-12,deliverystate_value_2,DOCUME-002,externalinvoicereference1_value_2,externalinvoicereference2_value_2,freight_value_2,gross_value_2,housework_value_2,invoicereference_value_2,net_value_2,notcompleted_value_2,offerreference_value_2,2026-01-12,ordertype_value_2,2026-01-12,roundoff_value_2,sent_value_2,taxreduction_value_2,275.00,275.00,vatincluded_value_2,warehouseready_value_2
ORG-1003,administrationfee_value_3,cancelled_value_3,412.50,412.50,copyremarks_value_3,DKK,412.50,2026-01-19,deliverystate_value_3,DOCUME-003,externalinvoicereference1_value_3,externalinvoicereference2_value_3,freight_value_3,gross_value_3,housework_value_3,invoicereference_value_3,net_value_3,notcompleted_value_3,offerreference_value_3,2026-01-19,ordertype_value_3,2026-01-19,roundoff_value_3,sent_value_3,taxreduction_value_3,412.50,412.50,vatincluded_value_3,warehouseready_value_3
ORG-1004,administrationfee_value_4,cancelled_value_4,550.00,550.00,copyremarks_value_4,EUR,550.00,2026-01-26,deliverystate_value_4,DOCUME-004,externalinvoicereference1_value_4,externalinvoicereference2_value_4,freight_value_4,gross_value_4,housework_value_4,invoicereference_value_4,net_value_4,notcompleted_value_4,offerreference_value_4,2026-01-26,ordertype_value_4,2026-01-26,roundoff_value_4,sent_value_4,taxreduction_value_4,550.00,550.00,vatincluded_value_4,warehouseready_value_4
ORG-1001,administrationfee_value_5,cancelled_value_5,687.50,687.50,copyremarks_value_5,GBP,687.50,2026-02-02,deliverystate_value_5,DOCUME-005,externalinvoicereference1_value_5,externalinvoicereference2_value_5,freight_value_5,gross_value_5,housework_value_5,invoicereference_value_5,net_value_5,notcompleted_value_5,offerreference_value_5,2026-02-02,ordertype_value_5,2026-02-02,roundoff_value_5,sent_value_5,taxreduction_value_5,687.50,687.50,vatincluded_value_5,warehouseready_value_5
ORG-1002,administrationfee_value_6,cancelled_value_6,825.00,825.00,copyremarks_value_6,USD,825.00,2026-02-09,deliverystate_value_6,DOCUME-006,externalinvoicereference1_value_6,externalinvoicereference2_value_6,freight_value_6,gross_value_6,housework_value_6,invoicereference_value_6,net_value_6,notcompleted_value_6,offerreference_value_6,2026-02-09,ordertype_value_6,2026-02-09,roundoff_value_6,sent_value_6,taxreduction_value_6,825.00,825.00,vatincluded_value_6,warehouseready_value_6
ORG-1003,administrationfee_value_7,cancelled_value_7,962.50,962.50,copyremarks_value_7,SEK,962.50,2026-02-16,deliverystate_value_7,DOCUME-007,externalinvoicereference1_value_7,externalinvoicereference2_value_7,freight_value_7,gross_value_7,housework_value_7,invoicereference_value_7,net_value_7,notcompleted_value_7,offerreference_value_7,2026-02-16,ordertype_value_7,2026-02-16,roundoff_value_7,sent_value_7,taxreduction_value_7,962.50,962.50,vatincluded_value_7,warehouseready_value_7
ORG-1004,administrationfee_value_8,cancelled_value_8,1100.00,1100.00,copyremarks_value_8,NOK,1100.00,2026-02-23,deliverystate_value_8,DOCUME-008,externalinvoicereference1_value_8,externalinvoicereference2_value_8,freight_value_8,gross_value_8,housework_value_8,invoicereference_value_8,net_value_8,notcompleted_value_8,offerreference_value_8,2026-02-23,ordertype_value_8,2026-02-23,roundoff_value_8,sent_value_8,taxreduction_value_8,1100.00,1100.00,vatincluded_value_8,warehouseready_value_8
ORG-1001,administrationfee_value_9,cancelled_value_9,1237.50,1237.50,copyremarks_value_9,DKK,1237.50,2026-03-02,deliverystate_value_9,DOCUME-009,externalinvoicereference1_value_9,externalinvoicereference2_value_9,freight_value_9,gross_value_9,housework_value_9,invoicereference_value_9,net_value_9,notcompleted_value_9,offerreference_value_9,2026-03-02,ordertype_value_9,2026-03-02,roundoff_value_9,sent_value_9,taxreduction_value_9,1237.50,1237.50,vatincluded_value_9,warehouseready_value_9
ORG-1002,administrationfee_value_10,cancelled_value_10,1375.00,1375.00,copyremarks_value_10,EUR,1375.00,2026-03-09,deliverystate_value_10,DOCUME-010,externalinvoicereference1_value_10,externalinvoicereference2_value_10,freight_value_10,gross_value_10,housework_value_10,invoicereference_value_10,net_value_10,notcompleted_value_10,offerreference_value_10,2026-03-09,ordertype_value_10,2026-03-09,roundoff_value_10,sent_value_10,taxreduction_value_10,1375.00,1375.00,vatincluded_value_10,warehouseready_value_10
ORG-1003,administrationfee_value_11,cancelled_value_11,1512.50,1512.50,copyremarks_value_11,GBP,1512.50,2026-03-16,deliverystate_value_11,DOCUME-011,externalinvoicereference1_value_11,externalinvoicereference2_value_11,freight_value_11,gross_value_11,housework_value_11,invoicereference_value_11,net_value_11,notcompleted_value_11,offerreference_value_11,2026-03-16,ordertype_value_11,2026-03-16,roundoff_value_11,sent_value_11,taxreduction_value_11,1512.50,1512.50,vatincluded_value_11,warehouseready_value_11
ORG-1004,administrationfee_value_12,cancelled_value_12,1650.00,1650.00,copyremarks_value_12,USD,1650.00,2026-03-23,deliverystate_value_12,DOCUME-012,externalinvoicereference1_value_12,externalinvoicereference2_value_12,freight_value_12,gross_value_12,housework_value_12,invoicereference_value_12,net_value_12,notcompleted_value_12,offerreference_value_12,2026-03-23,ordertype_value_12,2026-03-23,roundoff_value_12,sent_value_12,taxreduction_value_12,1650.00,1650.00,vatincluded_value_12,warehouseready_value_12
