OrgId,articleId,chargeHours,childId,costCenter,costCenterId,createdBy,createdTime,customer,customerId,documentId,documentType,id,invoiceBasisId,invoiceText,nonInvoiceable,note,project,projectId,registrationCode,service,startTime,stopTime,unitCost,unitPrice,updatedBy,userId,workedDate,workedHours
ORG-1001,ARTICL-001,chargehours_value_1,CHILD-001,137.50,137.50,createdby_value_1,createdtime_value_1,customer_value_1,CUSTOM-001,DOCUME-001,documenttype_value_1,KEY-001,INVOIC-001,invoicetext_value_1,noninvoiceable_value_1,note_value_1,project_value_1,PROJEC-001,registrationcode_value_1,service_value_1,starttime_value_1,stoptime_value_1,137.50,137.50,updatedby_value_1,USER-001,2026-01-05,workedhours_value_1
ORG-1002,ARTICL-002,chargehours_value_2,CHILD-002,275.00,275.00,createdby_value_2,createdtime_value_2,customer_value_2,CUSTOM-002,DOCUME-002,documenttype_value_2,KEY-002,INVOIC-002,invoicetext_value_2,noninvoiceable_value_2,note_value_2,project_value_2,PROJEC-002,registrationcode_value_2,service_value_2,starttime_value_2,stoptime_value_2,275.00,275.00,updatedby_value_2,USER-002,2026-01-12,workedhours_value_2
ORG-1003,ARTICL-003,chargehours_value_3,CHILD-003,412.50,412.50,createdby_value_3,createdtime_value_3,customer_value_3,CUSTOM-003,DOCUME-003,documenttype_value_3,KEY-003,INVOIC-003,invoicetext_value_3,noninvoiceable_value_3,note_value_3,project_value_3,PROJEC-003,registrationcode_value_3,service_value_3,starttime_value_3,stoptime_value_3,412.50,412.50,updatedby_value_3,USER-003,2026-01-19,workedhours_value_3
ORG-1004,ARTICL-004,chargehours_value_4,CHILD-004,550.00,550.00,createdby_value_4,createdtime_value_4,customer_value_4,CUSTOM-004,DOCUME-004,documenttype_value_4,KEY-004,INVOIC-004,invoicetext_value_4,noninvoiceable_value_4,note_value_4,project_value_4,PROJEC-004,registrationcode_value_4,service_value_4,starttime_value_4,stoptime_value_4,550.00,550.00,updatedby_value_4,USER-004,2026-01-26,workedhours_value_4
ORG-1001,ARTICL-005,chargehours_value_5,CHILD-005,687.50,687.50,createdby_value_5,createdtime_value_5,customer_value_5,CUSTOM-005,DOCUME-005,documenttype_value_5,KEY-005,INVOIC-005,invoicetext_value_5,noninvoiceable_value_5,note_value_5,project_value_5,PROJEC-005,registrationcode_value_5,service_value_5,starttime_value_5,stoptime_value_5,687.50,687.50,updatedby_value_5,USER-005,2026-02-02,workedhours_value_5
ORG-1002,ARTICL-006,chargehours_value_6,CHILD-006,825.00,825.00,createdby_value_6,createdtime_value_6,customer_value_6,CUSTOM-006,DOCUME-006,documenttype_value_6,KEY-006,INVOIC-006,invoicetext_value_6,noninvoiceable_value_6,note_value_6,project_value_6,PROJEC-006,registrationcode_value_6,service_value_6,starttime_value_6,stoptime_value_6,825.00,825.00,updatedby_value_6,USER-006,2026-02-09,workedhours_value_6
ORG-1003,ARTICL-007,chargehours_value_7,CHILD-007,962.50,962.50,createdby_value_7,createdtime_value_7,customer_value_7,CUSTOM-007,DOCUME-007,documenttype_value_7,KEY-007,INVOIC-007,invoicetext_value_7,noninvoiceable_value_7,note_value_7,project_value_7,PROJEC-007,registrationcode_value_7,service_value_7,starttime_value_7,stoptime_value_7,962.50,962.50,updatedby_value_7,USER-007,2026-02-16,workedhours_value_7
ORG-1004,ARTICL-008,chargehours_value_8,CHILD-008,1100.00,1100.00,createdby_value_8,createdtime_value_8,customer_value_8,CUSTOM-008,DOCUME-008,documenttype_value_8,KEY-008,INVOIC-008,invoicetext_value_8,noninvoiceable_value_8,note_value_8,project_value_8,PROJEC-008,registrationcode_value_8,service_value_8,starttime_value_8,stoptime_value_8,1100.00,1100.00,updatedby_value_8,USER-008,2026-02-23,workedhours_value_8
ORG-1001,ARTICL-009,chargehours_value_9,CHILD-009,1237.50,1237.50,createdby_value_9,createdtime_value_9,customer_value_9,CUSTOM-009,DOCUME-009,documenttype_value_9,KEY-009,INVOIC-009,invoicetext_value_9,noninvoiceable_value_9,note_value_9,project_value_9,PROJEC-009,registrationcode_value_9,service_value_9,starttime_value_9,stoptime_value_9,1237.50,1237.50,updatedby_value_9,USER-009,2026-03-02,workedhours_value_9
ORG-1002,ARTICL-010,chargehours_value_10,CHILD-010,1375.00,1375.00,createdby_value_10,createdtime_value_10,customer_value_10,CUSTOM-010,DOCUME-010,documenttype_value_10,KEY-010,INVOIC-010,invoicetext_value_10,noninvoiceable_value_10,note_value_10,project_value_10,PROJEC-010,registrationcode_value_10,service_value_10,starttime_value_10,stoptime_value_10,1375.00,1375.00,updatedby_value_10,USER-010,2026-03-09,workedhours_value_10
ORG-1003,ARTICL-011,chargehours_value_11,CHILD-011,1512.50,1512.50,createdby_value_11,createdtime_value_11,customer_value_11,CUSTOM-011,DOCUME-011,documenttype_value_11,KEY-011,INVOIC-011,invoicetext_value_11,noninvoiceable_value_11,note_value_11,project_value_11,PROJEC-011,registrationcode_value_11,service_value_11,starttime_value_11,stoptime_value_11,1512.50,1512.50,updatedby_value_11,USER-011,2026-03-16,workedhours_value_11
ORG-1004,ARTICL-012,chargehours_value_12,CHILD-012,1650.00,1650.00,createdby_value_12,createdtime_value_12,customer_value_12,CUSTOM-012,DOCUME-012,documenttype_value_12,KEY-012,INVOIC-012,invoicetext_value_12,noninvoiceable_value_12,note_value_12,project_value_12,PROJEC-012,registrationcode_value_12,service_value_12,starttime_value_12,stoptime_value_12,1650.00,1650.00,updatedby_value_12,USER-012,2026-03-23,workedhours_value_12
