OrgId,_id,AccountId,ArticleId,CostCenterId,createDate,currencyCode,currencyRate,customer,CustomerId,description,DueDate,FinancialYearId,invoiceDate,InvoiceId,invoiceItems,invoiceNumber,notes,ourReferenceName,paymentDate,project,ProjectId,reminderDate,sentDate,totalAmount,totalAmountInclTax,totalAmountRounding,totalCost,totalTaxAmount,yourOrderNumber
ORG-1001,_-001,ACCOUN-001,ARTICL-001,137.50,2026-01-05,SEK,137.50,customer_value_1,CUSTOM-001,description_value_1,2026-01-05,FINANC-001,2026-01-05,INVOIC-001,invoiceitems_value_1,INVOIC-001,notes_value_1,ourreferencename_value_1,2026-01-05,project_value_1,PROJEC-001,2026-01-05,2026-01-05,137.50,137.50,137.50,137.50,137.50,YOUROR-001
ORG-1002,_-002,ACCOUN-002,ARTICL-002,275.00,2026-01-12,NOK,275.00,customer_value_2,CUSTOM-002,description_value_2,2026-01-12,FINANC-002,2026-01-12,INVOIC-002,invoiceitems_value_2,INVOIC-002,notes_value_2,ourreferencename_value_2,2026-01-12,project_value_2,PROJEC-002,2026-01-12,2026-01-12,275.00,275.00,275.00,275.00,275.00,YOUROR-002
ORG-1003,_-003,ACCOUN-003,ARTICL-003,412.50,2026-01-19,DKK,412.50,customer_value_3,CUSTOM-003,description_value_3,2026-01-19,FINANC-003,2026-01-19,INVOIC-003,invoiceitems_value_3,INVOIC-003,notes_value_3,ourreferencename_value_3,2026-01-19,project_value_3,PROJEC-003,2026-01-19,2026-01-19,412.50,412.50,412.50,412.50,412.50,YOUROR-003
ORG-1004,_-004,ACCOUN-004,ARTICL-004,550.00,2026-01-26,EUR,550.00,customer_value_4,CUSTOM-004,description_value_4,2026-01-26,FINANC-004,2026-01-26,INVOIC-004,invoiceitems_value_4,INVOIC-004,notes_value_4,ourreferencename_value_4,2026-01-26,project_value_4,PROJEC-004,2026-01-26,2026-01-26,550.00,550.00,550.00,550.00,550.00,YOUROR-004
ORG-1001,_-005,ACCOUN-005,ARTICL-005,687.50,2026-02-02,GBP,687.50,customer_value_5,CUSTOM-005,description_value_5,2026-02-02,FINANC-005,2026-02-02,INVOIC-005,invoiceitems_value_5,INVOIC-005,notes_value_5,ourreferencename_value_5,2026-02-02,project_value_5,PROJEC-005,2026-02-02,2026-02-02,687.50,687.50,687.50,687.50,687.50,YOUROR-005
ORG-1002,_-006,ACCOUN-006,ARTICL-006,825.00,2026-02-09,USD,825.00,customer_value_6,CUSTOM-006,description_value_6,2026-02-09,FINANC-006,2026-02-09,INVOIC-006,invoiceitems_value_6,INVOIC-006,notes_value_6,ourreferencename_value_6,2026-02-09,project_value_6,PROJEC-006,2026-02-09,2026-02-09,825.00,825.00,825.00,825.00,825.00,YOUROR-006
ORG-1003,_-007,ACCOUN-007,ARTICL-007,962.50,2026-02-16,SEK,962.50,customer_value_7,CUSTOM-007,description_value_7,2026-02-16,FINANC-007,2026-02-16,INVOIC-007,invoiceitems_value_7,INVOIC-007,notes_value_7,ourreferencename_value_7,2026-02-16,project_value_7,PROJEC-007,2026-02-16,2026-02-16,962.50,962.50,962.50,962.50,962.50,YOUROR-007
ORG-1004,_-008,ACCOUN-008,ARTICL-008,1100.00,2026-02-23,NOK,1100.00,customer_value_8,CUSTOM-008,description_value_8,2026-02-23,FINANC-008,2026-02-23,INVOIC-008,invoiceitems_value_8,INVOIC-008,notes_value_8,ourreferencename_value_8,2026-02-23,project_value_8,PROJEC-008,2026-02-23,2026-02-23,1100.00,1100.00,1100.00,1100.00,1100.00,YOUROR-008
ORG-1001,_-009,ACCOUN-009,ARTICL-009,1237.50,2026-03-02,DKK,1237.50,customer_value_9,CUSTOM-009,description_value_9,2026-03-02,FINANC-009,2026-03-02,INVOIC-009,invoiceitems_value_9,INVOIC-009,notes_value_9,ourreferencename_value_9,2026-03-02,project_value_9,PROJEC-009,2026-03-02,2026-03-02,1237.50,1237.50,1237.50,1237.50,1237.50,YOUROR-009
ORG-1002,_-010,ACCOUN-010,ARTICL-010,1375.00,2026-03-09,EUR,1375.00,customer_value_10,CUSTOM-010,description_value_10,2026-03-09,FINANC-010,2026-03-09,INVOIC-010,invoiceitems_value_10,INVOIC-010,notes_value_10,ourreferencename_value_10,2026-03-09,project_value_10,PROJEC-010,2026-03-09,2026-03-09,1375.00,1375.00,1375.00,1375.00,1375.00,YOUROR-010
ORG-1003,_-011,ACCOUN-011,ARTICL-011,1512.50,2026-03-16,GBP,1512.50,customer_value_11,CUSTOM-011,description_value_11,2026-03-16,FINANC-011,2026-03-16,INVOIC-011,invoiceitems_value_11,INVOIC-011,notes_value_11,ourreferencename_value_11,2026-03-16,project_value_11,PROJEC-011,2026-03-16,2026-03-16,1512.50,1512.50,1512.50,1512.50,1512.50,YOUROR-011
ORG-1004,_-012,ACCOUN-012,ARTICL-012,1650.00,2026-03-23,USD,1650.00,customer_value_12,CUSTOM-012,description_value_12,2026-03-23,FINANC-012,2026-03-23,INVOIC-012,invoiceitems_value_12,INVOIC-012,notes_value_12,ourreferencename_value_12,2026-03-23,project_value_12,PROJEC-012,2026-03-23,2026-03-23,1650.00,1650.00,1650.00,1650.00,1650.00,YOUROR-012
