OrgId,Active,AdministrationFee,ArticleNumber,Continuous,ContractDate,ContractLength,ContributionPercent,ContributionValue,CostCenter,Currency,CustomerNumber,DiscountType,DocumentNumber,Freight,Gross,HouseWork,InvoiceInterval,InvoiceRows,InvoicesRemaining,Net,OurReference,PeriodEnd,PeriodStart,PriceList,Project,Remarks,RoundOff,Status,TaxReduction,TaxReductionType,TemplateName,TemplateNumber,TermsOfDelivery,TermsOfPayment,Total,TotalToPay,TotalVAT,WayOfDelivery,YourOrderNumber,YourReference
ORG-1001,false,administrationfee_value_1,ART-100,continuous_value_1,2026-01-05,contractlength_value_1,137.50,137.50,137.50,SEK,C-1001,137.50,DOCUME-001,freight_value_1,gross_value_1,housework_value_1,invoiceinterval_value_1,invoicerows_value_1,invoicesremaining_value_1,net_value_1,ourreference_value_1,periodend_value_1,periodstart_value_1,137.50,project_value_1,remarks_value_1,roundoff_value_1,status_value_1,taxreduction_value_1,taxreductiontype_value_1,templatename_value_1,TEMPLA-001,termsofdelivery_value_1,termsofpayment_value_1,137.50,137.50,137.50,wayofdelivery_value_1,YOUROR-001,yourreference_value_1
ORG-1002,true,administrationfee_value_2,ART-101,continuous_value_2,2026-01-12,contractlength_value_2,275.00,275.00,275.00,NOK,C-1002,275.00,DOCUME-002,freight_value_2,gross_value_2,housework_value_2,invoiceinterval_value_2,invoicerows_value_2,invoicesremaining_value_2,net_value_2,ourreference_value_2,periodend_value_2,periodstart_value_2,275.00,project_value_2,remarks_value_2,roundoff_value_2,status_value_2,taxreduction_value_2,taxreductiontype_value_2,templatename_value_2,TEMPLA-002,termsofdelivery_value_2,termsofpayment_value_2,275.00,275.00,275.00,wayofdelivery_value_2,YOUROR-002,yourreference_value_2
ORG-1003,true,administrationfee_value_3,ART-102,continuous_value_3,2026-01-19,contractlength_value_3,412.50,412.50,412.50,DKK,C-1003,412.50,DOCUME-003,freight_value_3,gross_value_3,housework_value_3,invoiceinterval_value_3,invoicerows_value_3,invoicesremaining_value_3,net_value_3,ourreference_value_3,periodend_value_3,periodstart_value_3,412.50,project_value_3,remarks_value_3,roundoff_value_3,status_value_3,taxreduction_value_3,taxreductiontype_value_3,templatename_value_3,TEMPLA-003,termsofdelivery_value_3,termsofpayment_value_3,412.50,412.50,412.50,wayofdelivery_value_3,YOUROR-003,yourreference_value_3
ORG-1004,false,administrationfee_value_4,ART-103,continuous_value_4,2026-01-26,contractlength_value_4,550.00,550.00,550.00,EUR,C-1004,550.00,DOCUME-004,freight_value_4,gross_value_4,housework_value_4,invoiceinterval_value_4,invoicerows_value_4,invoicesremaining_value_4,net_value_4,ourreference_value_4,periodend_value_4,periodstart_value_4,550.00,project_value_4,remarks_value_4,roundoff_value_4,status_value_4,taxreduction_value_4,taxreductiontype_value_4,templatename_value_4,TEMPLA-004,termsofdelivery_value_4,termsofpayment_value_4,550.00,550.00,550.00,wayofdelivery_value_4,YOUROR-004,yourreference_value_4
ORG-1001,true,administrationfee_value_5,ART-104,continuous_value_5,2026-02-02,contractlength_value_5,687.50,687.50,687.50,GBP,C-1005,687.50,DOCUME-005,freight_value_5,gross_value_5,housework_value_5,invoiceinterval_value_5,invoicerows_value_5,invoicesremaining_value_5,net_value_5,ourreference_value_5,periodend_value_5,periodstart_value_5,687.50,project_value_5,remarks_value_5,roundoff_value_5,status_value_5,taxreduction_value_5,taxreductiontype_value_5,templatename_value_5,TEMPLA-005,termsofdelivery_value_5,termsofpayment_value_5,687.50,687.50,687.50,wayofdelivery_value_5,YOUROR-005,yourreference_value_5
ORG-1002,true,administrationfee_value_6,ART-105,continuous_value_6,2026-02-09,contractlength_value_6,825.00,825.00,825.00,USD,C-1001,825.00,DOCUME-006,freight_value_6,gross_value_6,housework_value_6,invoiceinterval_value_6,invoicerows_value_6,invoicesremaining_value_6,net_value_6,ourreference_value_6,periodend_value_6,periodstart_value_6,825.00,project_value_6,remarks_value_6,roundoff_value_6,status_value_6,taxreduction_value_6,taxreductiontype_value_6,templatename_value_6,TEMPLA-006,termsofdelivery_value_6,termsofpayment_value_6,825.00,825.00,825.00,wayofdelivery_value_6,YOUROR-006,yourreference_value_6
ORG-1003,false,administrationfee_value_7,ART-100,continuous_value_7,2026-02-16,contractlength_value_7,962.50,962.50,962.50,SEK,C-1002,962.50,DOCUME-007,freight_value_7,gross_value_7,housework_value_7,invoiceinterval_value_7,invoicerows_value_7,invoicesremaining_value_7,net_value_7,ourreference_value_7,periodend_value_7,periodstart_value_7,962.50,project_value_7,remarks_value_7,roundoff_value_7,status_value_7,taxreduction_value_7,taxreductiontype_value_7,templatename_value_7,TEMPLA-007,termsofdelivery_value_7,termsofpayment_value_7,962.50,962.50,962.50,wayofdelivery_value_7,YOUROR-007,yourreference_value_7
ORG-1004,true,administrationfee_value_8,ART-101,continuous_value_8,2026-02-23,contractlength_value_8,1100.00,1100.00,1100.00,NOK,C-1003,1100.00,DOCUME-008,freight_value_8,gross_value_8,housework_value_8,invoiceinterval_value_8,invoicerows_value_8,invoicesremaining_value_8,net_value_8,ourreference_value_8,periodend_value_8,periodstart_value_8,1100.00,project_value_8,remarks_value_8,roundoff_value_8,status_value_8,taxreduction_value_8,taxreductiontype_value_8,templatename_value_8,TEMPLA-008,termsofdelivery_value_8,termsofpayment_value_8,1100.00,1100.00,1100.00,wayofdelivery_value_8,YOUROR-008,yourreference_value_8
ORG-1001,true,administrationfee_value_9,ART-102,continuous_value_9,2026-03-02,contractlength_value_9,1237.50,1237.50,1237.50,DKK,C-1004,1237.50,DOCUME-009,freight_value_9,gross_value_9,housework_value_9,invoiceinterval_value_9,invoicerows_value_9,invoicesremaining_value_9,net_value_9,ourreference_value_9,periodend_value_9,periodstart_value_9,1237.50,project_value_9,remarks_value_9,roundoff_value_9,status_value_9,taxreduction_value_9,taxreductiontype_value_9,templatename_value_9,TEMPLA-009,termsofdelivery_value_9,termsofpayment_value_9,1237.50,1237.50,1237.50,wayofdelivery_value_9,YOUROR-009,yourreference_value_9
ORG-1002,false,administrationfee_value_10,ART-103,continuous_value_10,2026-03-09,contractlength_value_10,1375.00,1375.00,1375.00,EUR,C-1005,1375.00,DOCUME-010,freight_value_10,gross_value_10,housework_value_10,invoiceinterval_value_10,invoicerows_value_10,invoicesremaining_value_10,net_value_10,ourreference_value_10,periodend_value_10,periodstart_value_10,1375.00,project_value_10,remarks_value_10,roundoff_value_10,status_value_10,taxreduction_value_10,taxreductiontype_value_10,templatename_value_10,TEMPLA-010,termsofdelivery_value_10,termsofpayment_value_10,1375.00,1375.00,1375.00,wayofdelivery_value_10,YOUROR-010,yourreference_value_10
